index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
161,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,alfa,PZM,BTC,sell,2.18e-06,3729.55960075,0.2,24934.201330833337,22340.27017956,3729.55960075,0.00895631360762508,3729.55960075,3729.55960075,0.00811417904977573,-0.0008421345578493496,-9.402691718302348
162,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,hot,PZM,BTC,sell,2.3e-06,19.42,0.06,24934.201330833337,0.2532381,0.2532381,6.08136102864e-07,0.2532381,0.2532381,5.82098161422e-07,-2.603794144200004e-08,-4.281597708041848
163,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,hot,PZM,BTC,sell,2.28e-06,81.21000000000002,0.06,24934.201330833337,0.2532381,0.2532381,6.08136102864e-07,0.2532381,0.2532381,5.770364382792e-07,-3.109966458479997e-08,-5.113931641015386
164,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,hot,PZM,BTC,sell,2.25e-06,152.61,0.06,24934.201330833337,0.2532381,0.2532381,6.08136102864e-07,0.2532381,0.2532381,5.69443853565e-07,-3.8692249298999973e-08,-6.36243254047571
165,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,hot,PZM,BTC,sell,2.23e-06,208.22000000000003,0.06,24934.201330833337,0.2532381,0.2532381,6.08136102864e-07,0.2532381,0.2532381,5.643821304222e-07,-4.375397244180001e-08,-7.194766473449265
166,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,hot,PZM,BTC,sell,2.21e-06,279.62,0.06,24934.201330833337,0.2532381,0.2532381,6.08136102864e-07,0.2532381,0.2532381,5.593204072794001e-07,-4.881569558459994e-08,-8.027100406422804
167,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,live,PZM,BTC,sell,2.17e-06,1354.04198709,0.18,24934.201330833337,12549.45140858,1354.04198709,0.0032516505894774096,1354.04198709,1354.04198709,0.0029329822239837263,-0.0003186683654936833,-9.800203211406494
168,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,live,PZM,BTC,sell,2.16e-06,2482.41257418,0.18,24934.201330833337,12549.45140858,2482.41257418,0.005961364852138818,2482.41257418,2482.41257418,0.005352359540140388,-0.0006090053119984298,-10.215870477713354
169,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,live,PZM,BTC,sell,2.14e-06,19664.78852311,0.18,24934.201330833337,12549.45140858,12549.45140858,0.030136754590620353,12549.45140858,12549.45140858,0.026807485527535348,-0.0033292690630850053,-11.047205010327138
170,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,live,PZM,BTC,sell,2.13e-06,20111.18838364,0.18,24934.201330833337,12549.45140858,12549.45140858,0.030136754590620353,12549.45140858,12549.45140858,0.026682216903574904,-0.003454537687045449,-11.462872276634013
171,hot,BTC,PZM,buy,2.4e-06,28467.24,0.06,live,PZM,BTC,sell,2.12e-06,24967.02828364,0.18,24934.201330833337,12549.45140858,12549.45140858,0.030136754590620353,12549.45140858,12549.45140858,0.02655694827961446,-0.0035798063110058925,-11.87853954294089
172,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,alfa,PZM,BTC,sell,2.22e-06,279.95495495,0.2,17853.088430837004,22340.27017956,279.95495495,0.0006366416436824257,279.95495495,279.95495495,0.0006202569999890219,-1.638464369340374e-05,-2.5736053957502105
173,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,alfa,PZM,BTC,sell,2.19e-06,760.14216956,0.2,17853.088430837004,22340.27017956,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008627749959526789,-3.4922014253140716e-05,-3.8901782958076203
174,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,alfa,PZM,BTC,sell,2.18e-06,3729.55960075,0.2,17853.088430837004,22340.27017956,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008588353840990135,-3.886162610680611e-05,-4.329035929160119
175,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,hot,PZM,BTC,sell,2.3e-06,19.42,0.06,17853.088430837004,0.2532381,0.2532381,5.758852178766e-07,0.2532381,0.2532381,5.82098161422e-07,6.2129435453999445e-09,1.0788510197063692
176,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,hot,PZM,BTC,sell,2.28e-06,81.21000000000002,0.06,17853.088430837004,0.2532381,0.2532381,5.758852178766e-07,0.2532381,0.2532381,5.770364382792e-07,1.151220402600013e-09,0.19990448910023853
177,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,hot,PZM,BTC,sell,2.25e-06,152.61,0.06,17853.088430837004,0.2532381,0.2532381,5.758852178766e-07,0.2532381,0.2532381,5.69443853565e-07,-6.44136431159999e-09,-1.1185153068089755
178,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,hot,PZM,BTC,sell,2.23e-06,208.22000000000003,0.06,17853.088430837004,0.2532381,0.2532381,5.758852178766e-07,0.2532381,0.2532381,5.643821304222e-07,-1.1503087454400028e-08,-1.9974618374151245
179,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,hot,PZM,BTC,sell,2.21e-06,279.62,0.06,17853.088430837004,0.2532381,0.2532381,5.758852178766e-07,0.2532381,0.2532381,5.593204072794001e-07,-1.656481059719996e-08,-2.876408368021255
180,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,live,PZM,BTC,sell,2.17e-06,1354.04198709,0.18,17853.088430837004,12549.45140858,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008550670940433935,-4.262991616242617e-05,-4.748808972044164
181,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,live,PZM,BTC,sell,2.16e-06,2482.41257418,0.18,17853.088430837004,12549.45140858,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008511266926883548,-4.6570317517464804e-05,-5.187754552818149
182,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,live,PZM,BTC,sell,2.14e-06,19664.78852311,0.18,17853.088430837004,12549.45140858,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008432458899782774,-5.445112022754218e-05,-6.065645714366131
183,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,live,PZM,BTC,sell,2.13e-06,20111.18838364,0.18,17853.088430837004,12549.45140858,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008393054886232388,-5.8391521582580814e-05,-6.504591295140115
184,live,BTC,PZM,buy,2.27e-06,394.75068674,0.18,live,PZM,BTC,sell,2.12e-06,24967.02828364,0.18,17853.088430837004,12549.45140858,394.75068674,0.0008976970102058196,394.75068674,394.75068674,0.0008353650872682002,-6.233192293761945e-05,-6.943536875914099
185,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,alfa,PZM,BTC,sell,2.22e-06,279.95495495,0.2,17620.22206,22340.27017956,279.95495495,0.000645055409898493,279.95495495,279.95495495,0.0006202569999890219,-2.4798409909471087e-05,-3.8443844558056504
186,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,alfa,PZM,BTC,sell,2.19e-06,760.14216956,0.2,17620.22206,22340.27017956,760.14216956,0.0017514739785699782,760.14216956,760.14216956,0.0016613819286337272,-9.009204993625105e-05,-5.1437846658623085
187,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,alfa,PZM,BTC,sell,2.18e-06,3729.55960075,0.2,17620.22206,22340.27017956,1594.75068674,0.0036745288473451036,1594.75068674,1594.75068674,0.0034696033840990134,-0.00020492546324609026,-5.576918069214551
188,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,hot,PZM,BTC,sell,2.3e-06,19.42,0.06,17620.22206,0.2532381,0.2532381,5.83496035734e-07,0.2532381,0.2532381,5.82098161422e-07,-1.3978743120000497e-09,-0.23956877620284345
189,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,hot,PZM,BTC,sell,2.28e-06,81.21000000000002,0.06,17620.22206,0.2532381,0.2532381,5.83496035734e-07,0.2532381,0.2532381,5.770364382792e-07,-6.459597454799981e-09,-1.107050786844546
190,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,hot,PZM,BTC,sell,2.25e-06,152.61,0.06,17620.22206,0.2532381,0.2532381,5.83496035734e-07,0.2532381,0.2532381,5.69443853565e-07,-1.4052182168999985e-08,-2.4082738028071184
191,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,hot,PZM,BTC,sell,2.23e-06,208.22000000000003,0.06,17620.22206,0.2532381,0.2532381,5.83496035734e-07,0.2532381,0.2532381,5.643821304222e-07,-1.9113905311800022e-08,-3.275755813448839
192,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,hot,PZM,BTC,sell,2.21e-06,279.62,0.06,17620.22206,0.2532381,0.2532381,5.83496035734e-07,0.2532381,0.2532381,5.593204072794001e-07,-2.4175628454599954e-08,-4.143237824090542
193,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,live,PZM,BTC,sell,2.17e-06,1354.04198709,0.18,17620.22206,12549.45140858,1354.04198709,0.0031199023041335525,1354.04198709,1354.04198709,0.0029329822239837263,-0.00018692008014982615,-5.99121581153923
194,live,BTC,PZM,buy,2.3e-06,1594.75068674,0.18,live,PZM,BTC,sell,2.16e-06,2482.41257418,0.18,17620.22206,12549.45140858,1594.75068674,0.0036745288473451036,1594.75068674,1594.75068674,0.003438461092688355,-0.0002360677546567485,-6.424436015172684
